W,VAR,VA,f,V,PF,A,Label
203.232,-28.399,205.206,50.21,232.44,0.99,0.883,"Fan,Motor,Laptop,Iron"
202.623,-28.169,204.572,50.21,232.42,0.99,0.88,"Fan,Motor,Laptop,Iron"
200.951,-27.352,202.804,50.21,232.44,0.991,0.873,"Fan,Motor,Laptop,Iron"
201.267,-27.819,203.18,50.23,232.31,0.991,0.875,"Fan,Motor,Laptop,Iron"
201.478,-27.641,203.365,50.23,232.32,0.991,0.875,"Fan,Motor,Laptop,Iron"
200.503,-27.11,202.328,50.21,232.42,0.991,0.871,"Fan,Motor,Laptop,Iron"
201.306,-27.408,203.163,50.22,232.37,0.991,0.874,"Fan,Motor,Laptop,Iron"
202.078,-28.18,204.034,50.24,232.23,0.99,0.879,"Fan,Motor,Laptop,Iron"
202.54,-27.979,204.463,50.21,232.37,0.991,0.88,"Fan,Motor,Laptop,Iron"
199.812,-26.673,201.585,50.21,232.27,0.991,0.868,"Fan,Motor,Laptop"
204.055,-28.122,205.984,50.21,232.23,0.991,0.887,"Fan,Motor,Laptop,Iron"
205.673,-28.78,207.677,50.22,232.25,0.99,0.894,"Fan,Motor,Laptop,Iron"
207.439,-29.484,209.524,50.21,232.16,0.99,0.903,"Fan,Motor,Laptop,Iron"
210.809,-30.199,212.961,50.22,232.22,0.99,0.917,"Fan,Motor,Laptop,Iron"
206.698,-28.474,208.651,50.21,232.12,0.991,0.899,"Fan,Motor,Laptop,Iron"
205.419,-28.388,207.371,50.21,232.15,0.991,0.893,"Fan,Motor,Laptop,Iron"
205.786,-29.443,207.882,50.2,232.37,0.99,0.895,"Fan,Motor,Laptop,Iron"
203.272,-28.987,205.329,50.21,231.72,0.99,0.886,"Fan,Motor,Laptop,Iron"
205.236,-28.909,207.262,50.2,232.06,0.99,0.893,"Fan,Motor,Laptop,Iron"
203.822,-28.775,205.843,50.19,232.11,0.99,0.887,"Fan,Motor,Laptop,Iron"
205.128,-29.291,207.208,50.21,231.87,0.99,0.894,"Fan,Motor,Laptop,Iron"
203.131,-28.217,205.081,50.2,231.9,0.99,0.884,"Fan,Motor,Laptop,Iron"
208.595,-30.121,210.759,50.2,231.95,0.99,0.909,"Fan,Motor,Laptop,Iron"
