W,VAR,VA,f,V,PF,A,Label
208.732,-29.056,210.745,50.16,231.72,0.99,0.909,"Fan,Motor,Laptop,Iron"
204.44,-28.011,206.35,50.17,231.39,0.991,0.892,"Fan,Motor,Laptop,Iron"
206.484,-28.433,208.432,50.17,231.35,0.991,0.901,"Fan,Motor,Laptop,Iron"
210.625,-29.63,212.699,50.16,231.4,0.99,0.919,"Fan,Motor,Laptop,Iron"
210.994,-29.233,213.009,50.16,231.37,0.991,0.921,"Fan,Motor,Laptop,Iron"
204.696,-27.145,206.488,50.12,231.36,0.991,0.892,"Fan,Motor,Laptop,Iron"
205.139,-27.333,206.952,50.14,231.61,0.991,0.894,"Fan,Motor,Laptop,Iron"
204.496,-27.368,206.319,50.16,231.48,0.991,0.891,"Fan,Motor,Laptop,Iron"
203.409,-26.846,205.173,50.16,231.58,0.991,0.886,"Fan,Motor,Laptop,Iron"
202.929,-26.459,204.739,50.16,231.56,0.992,0.884,"Fan,Motor,Laptop,Iron"
206.066,-27.616,207.526,50.17,231.48,0.991,0.898,"Fan,Motor,Laptop,Iron"
207.008,-29.693,212.071,50.15,231.51,0.99,0.916,"Fan,Motor,Laptop,Iron"
212.798,-29.229,212.148,50.13,231.45,0.99,0.916,"Fan,Motor,Laptop,Iron"
208.821,-27.5,207.669,50.16,231.48,0.991,0.897,"Fan,Motor,Laptop,Iron"
206.88,-27.586,207.776,50.15,231.6,0.991,0.898,"Fan,Motor,Laptop,Iron"
205.01,-27.304,206.821,50.15,231.47,0.991,0.894,"Fan,Motor,Laptop,Iron"
204.111,-27.13,205.906,50.15,231.45,0.991,0.89,"Fan,Motor,Laptop,Iron"
203.595,-27.133,205.395,50.16,231.4,0.991,0.888,"Fan,Motor,Laptop,Iron"
204.33,-27.539,206.177,50.16,231.49,0.991,0.891,"Fan,Motor,Laptop,Iron"
204.047,-27.46,205.887,50.16,231.56,0.991,0.889,"Fan,Motor,Laptop,Iron"
204.487,-27.572,206.337,50.16,231.56,0.991,0.891,"Fan,Motor,Laptop,Iron"
204.692,-27.411,206.519,50.16,231.61,0.991,0.892,"Fan,Motor,Laptop,Iron"
201.649,-26.336,203.361,50.14,231.78,0.992,0.877,"Fan,Motor,Laptop,Iron"
206.945,-27.523,208.767,50.14,231.45,0.991,0.902,"Fan,Motor,Laptop,Iron"
204.105,-26.563,205.826,50.14,231.79,0.992,0.888,"Fan,Motor,Laptop,Iron"
200.116,-25.45,201.728,50.14,231.78,0.992,0.87,"Fan,Motor,Laptop,Iron"
201.087,-25.813,202.737,50.14,231.58,0.992,0.875,"Fan,Motor,Laptop,Iron"
202.283,-25.985,203.946,50.13,231.62,0.992,0.881,"Fan,Motor,Laptop,Iron"
207.398,-27.511,209.215,50.13,231.57,0.991,0.903,"Fan,Motor,Laptop,Iron"
